datum;pozicija;sektor_protustranke;podskup_protustranke;instrument;namjena_kredita;izvorno_dospijece;otkazni_rok;pocetno_fiksiranje_kamatne_stope;velicina_kredita;nominalna_kamatna_stopa_novi_posao;nominalna_kamatna_stopa_stanje;efektivna_kamatna_stopa;iznos_novi_posao;iznos_stanje;izvorne_tablice
2011-12-31;KREDITI;KUCANSTVA;OBRTNICI;REVOLVING_PREKORACENJA_I_KARTICE;UKUPNO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;UKUPNO;;10,3;;;47,6511154;G2
2011-12-31;KREDITI;KUCANSTVA;UKUPNO;KREDITI;OSTALE_NAMJENE;UKUPNO;NIJE_PRIMJENJIVO;UKUPNO;UKUPNO;8,68;;;113,50978104;;G2
2011-12-31;KREDITI;KUCANSTVA;UKUPNO;KREDITI;POTROSACKI;UKUPNO;NIJE_PRIMJENJIVO;UKUPNO;UKUPNO;7,18;;9,01;0,86193784;;G2
2011-12-31;KREDITI;KUCANSTVA;UKUPNO;KREDITI;POTROSACKI_I_OSTALI;DUGOROCNO;NIJE_PRIMJENJIVO;UKUPNO;UKUPNO;8,68;9,58;;101,6160959;6264,34659389;G5|G6
2011-12-31;KREDITI;KUCANSTVA;UKUPNO;KREDITI;POTROSACKI_I_OSTALI;KRATKOROCNO;NIJE_PRIMJENJIVO;UKUPNO;UKUPNO;6,4;10,37;;17,3156646;1376,50160332;G5|G6
2011-12-31;KREDITI;KUCANSTVA;UKUPNO;KREDITI;POTROSACKI_I_OSTALI;UKUPNO;NIJE_PRIMJENJIVO;UKUPNO;UKUPNO;8,35;9,72;;118,9317605;7640,84819721;G5|G6
2011-12-31;KREDITI;KUCANSTVA;UKUPNO;KREDITI;STAMBENI;DUGOROCNO;NIJE_PRIMJENJIVO;UKUPNO;UKUPNO;5,68;6,14;;42,30110122;4911,76397615;G5|G6
2011-12-31;KREDITI;KUCANSTVA;UKUPNO;KREDITI;STAMBENI;KRATKOROCNO;NIJE_PRIMJENJIVO;UKUPNO;UKUPNO;5,5;7,55;;5,30552254;0,1458594;G5|G6
2011-12-31;KREDITI;KUCANSTVA;UKUPNO;KREDITI;STAMBENI;UKUPNO;NIJE_PRIMJENJIVO;UKUPNO;UKUPNO;5,66;6,14;6,25;47,60662377;4911,90983555;G2|G5
2011-12-31;KREDITI;KUCANSTVA;UKUPNO;KREDITI;UKUPNO;UKUPNO;NIJE_PRIMJENJIVO;UKUPNO;UKUPNO;7,58;8,32;;166,53838426;12552,75803276;G5|G6
2011-12-31;KREDITI;KUCANSTVA;UKUPNO;KREDITI_PO_KREDITNIM_KARTICAMA;UKUPNO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;UKUPNO;;10,41;;;523,56615586;G2
2011-12-31;KREDITI;KUCANSTVA;UKUPNO;PREKORACENJA_PO_TRANSAKCIJSKOM_RACUNU;UKUPNO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;UKUPNO;;11,51;;;903,71815791;G2
2011-12-31;KREDITI;KUCANSTVA;UKUPNO;REVOLVING_KREDITI;UKUPNO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;UKUPNO;;10,16;;;13,22617958;G2
2011-12-31;KREDITI;KUCANSTVA;UKUPNO;REVOLVING_PREKORACENJA_I_KARTICE;UKUPNO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;UKUPNO;;10,68;;;1525,60632181;G2
2011-12-31;KREDITI;NEFINANCIJSKA_DRUSTVA;UKUPNO;KREDITI;UKUPNO;DUGOROCNO;NIJE_PRIMJENJIVO;UKUPNO;UKUPNO;6,49;6,55;;315,1245419;8079,55604852;G5|G6
2011-12-31;KREDITI;NEFINANCIJSKA_DRUSTVA;UKUPNO;KREDITI;UKUPNO;KRATKOROCNO;NIJE_PRIMJENJIVO;UKUPNO;UKUPNO;7,63;7,71;;344,37638579;2707,5573228;G5|G6
2011-12-31;KREDITI;NEFINANCIJSKA_DRUSTVA;UKUPNO;KREDITI;UKUPNO;UKUPNO;NIJE_PRIMJENJIVO;UKUPNO;DO_0_25_MIL_EUR;7,92;;;67,47441737;;G3
2011-12-31;KREDITI;NEFINANCIJSKA_DRUSTVA;UKUPNO;KREDITI;UKUPNO;UKUPNO;NIJE_PRIMJENJIVO;UKUPNO;OD_0_25_DO_1_MIL_EUR;7,12;;;92,88375028;;G3
2011-12-31;KREDITI;NEFINANCIJSKA_DRUSTVA;UKUPNO;KREDITI;UKUPNO;UKUPNO;NIJE_PRIMJENJIVO;UKUPNO;UKUPNO;7,08;6,84;;659,50092769;10787,11337132;G5|G6
2011-12-31;KREDITI;NEFINANCIJSKA_DRUSTVA;UKUPNO;KREDITI;UKUPNO;UKUPNO;NIJE_PRIMJENJIVO;UKUPNO;VISE_OD_1_MIL_EUR;6,99;;;492,39183116;;G3
2011-12-31;KREDITI;NEFINANCIJSKA_DRUSTVA;UKUPNO;KREDITI_PO_KREDITNIM_KARTICAMA;UKUPNO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;;11,25;;;8,62545518;G3
2011-12-31;KREDITI;NEFINANCIJSKA_DRUSTVA;UKUPNO;REVOLVING_I_PREKORACENJA;UKUPNO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;;7,71;;;624,14401435;G3
2011-12-31;KREDITI;NEFINANCIJSKA_DRUSTVA;UKUPNO;REVOLVING_PREKORACENJA_I_KARTICE;UKUPNO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;;7,7;;;638,45599062;G3
2011-12-31;KREDITI;UKUPNO;UKUPNO;KREDITI;UKUPNO;UKUPNO;NIJE_PRIMJENJIVO;UKUPNO;UKUPNO;7,18;7,63;;826,03931195;23339,87140408;G5|G6
2012-01-31;DEPOZITI;KUCANSTVA;UKUPNO;DEPOZITI_U_OTKAZNOM_ROKU;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;DO_3_MJESECA;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;3,81;;;0,11763382;;G1
2012-01-31;DEPOZITI;KUCANSTVA;UKUPNO;DEPOZITI_U_OTKAZNOM_ROKU;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;UKUPNO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;3,81;;;0,11763382;;G1
2012-01-31;DEPOZITI;KUCANSTVA;UKUPNO;OROCENI_DEPOZITI;NIJE_PRIMJENJIVO;DUGOROCNO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;4,17;3,96;;259,73509061;7024,51450345;G5|G6
2012-01-31;DEPOZITI;KUCANSTVA;UKUPNO;OROCENI_DEPOZITI;NIJE_PRIMJENJIVO;KRATKOROCNO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;3,03;3,47;;790,40905513;9518,499817;G5|G6
2012-01-31;DEPOZITI;KUCANSTVA;UKUPNO;OROCENI_DEPOZITI;NIJE_PRIMJENJIVO;UKUPNO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;3,31;3,68;;1050,14414574;16543,01432045;G1|G5
2012-01-31;DEPOZITI;KUCANSTVA;UKUPNO;PREKONOCNI_DEPOZITI;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;;0,24;;;4393,8880142;G1
